time,temp_cmx,temp_cmy,temp_cmz,temp_q[Link 0],temp_q[Link 1],temp_q[Link 2],temp_q[Link 3],temp_q[Link 4],temp_q[Link 5],temp_q[reflex_col:base],temp_q[reflex_col:pad],temp_q[reflex_col:swivel_1],temp_q[reflex_col:proximal_1],temp_q[reflex_col:distal_1],temp_q[reflex_col:distal_pad_1],temp_q[reflex_col:proximal_pad_1],temp_q[reflex_col:swivel_2],temp_q[reflex_col:proximal_2],temp_q[reflex_col:distal_2],temp_q[reflex_col:distal_pad_2],temp_q[reflex_col:proximal_pad_2],temp_q[reflex_col:proximal_3],temp_q[reflex_col:distal_3],temp_q[reflex_col:distal_pad_3],temp_q[reflex_col:proximal_pad_3],temp_dq[Link 0],temp_dq[Link 1],temp_dq[Link 2],temp_dq[Link 3],temp_dq[Link 4],temp_dq[Link 5],temp_dq[reflex_col:base],temp_dq[reflex_col:pad],temp_dq[reflex_col:swivel_1],temp_dq[reflex_col:proximal_1],temp_dq[reflex_col:distal_1],temp_dq[reflex_col:distal_pad_1],temp_dq[reflex_col:proximal_pad_1],temp_dq[reflex_col:swivel_2],temp_dq[reflex_col:proximal_2],temp_dq[reflex_col:distal_2],temp_dq[reflex_col:distal_pad_2],temp_dq[reflex_col:proximal_pad_2],temp_dq[reflex_col:proximal_3],temp_dq[reflex_col:distal_3],temp_dq[reflex_col:distal_pad_3],temp_dq[reflex_col:proximal_pad_3],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_t[0],temp_q[q[0]],temp_q[q[1]],temp_q[q[2]],temp_q[q[3]],temp_q[q[4]],temp_q[q[5]],temp_q[q[6]],temp_q[q[7]],temp_q[q[8]],temp_q[q[9]],temp_q[q[10]],temp_q[q[11]],temp_q[q[12]],temp_q[q[13]],temp_q[q[14]],temp_q[q[15]],temp_q[q[16]],temp_q[q[17]],temp_q[q[18]],temp_q[q[19]],temp_q[q[20]],temp_q[q[21]],temp_dq[dq[0]],temp_dq[dq[1]],temp_dq[dq[2]],temp_dq[dq[3]],temp_dq[dq[4]],temp_dq[dq[5]],temp_dq[dq[6]],temp_dq[dq[7]],temp_dq[dq[8]],temp_dq[dq[9]],temp_dq[dq[10]],temp_dq[dq[11]],temp_dq[dq[12]],temp_dq[dq[13]],temp_dq[dq[14]],temp_dq[dq[15]],temp_dq[dq[16]],temp_dq[dq[17]],temp_dq[dq[18]],temp_dq[dq[19]],temp_dq[dq[20]],temp_dq[dq[21]],temp_comx,temp_comy,temp_comz,temp_x,temp_y,temp_z,temp_rx,temp_ry,temp_rz,temp_dx,temp_dy,temp_dz,temp_wx,temp_wy,temp_wz,loop_time,dt,robotname
0.01,0.00670671746623,-0.136678523435,0.138572024185,0.0219726291351,-0.145868635736,0.19961515086,3.14159184562,0.0290985101056,3.14159184561,0.0,0.0,-5.02344832398e-11,0.00154547753875,2.1242563264e-11,0.0,0.0,-3.69775321474e-11,0.00145841589282,1.75530701085e-11,0.0,0.0,0.0042612270284,6.28318530716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00568836087e-07,1.98851478393e-10,6.84360071641,7.55731136928e-10,-2.12987362807e-06,4.08425727337e-08,2.10990436282e-11,0.150772612306,-4.24851265279e-11,0.151207920536,-3.51061402171e-11,0.274387729716,4.28812541031e-11,0.0219726292293,-0.145868635736,0.199950652059,3.14159184562,0.02909850908,3.14159184562,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00101014004092,0.0684702039229,0.0321460430985,-0.0362326611703,0.00782761586076,-0.000627024191292,-0.000355670876972,6.15723349122e-05,1.47826153916e-07,0.000376972141026,0.0020167933457,-0.00340971068895,-0.0623805442521,0.011829643137,7.53805151423e-05,0.0116019248962,0.01,reflex_col
0.02,0.00670847417025,-0.136678523389,0.138041335619,0.0219726289561,-0.145868635736,0.199070950698,3.14159184562,0.0290985120271,3.14159184558,0.0,0.0,-7.69979635606e-11,0.00644454934017,8.21200885071e-11,0.0,0.0,5.51905188217e-11,0.00615551745397,5.86197757002e-11,0.0,0.0,0.0138858083823,6.28318530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30705482469e-06,1.39255337106e-10,9.98449532205,1.12321746486e-09,-3.76773983005e-06,7.68115435737e-08,2.1038401194e-10,0.284777253299,-1.64240177014e-10,0.28622241273,-1.172395514e-10,0.495141916177,1.39372957619e-11,0.0219726291351,-0.145868635736,0.19961515086,3.14159184562,0.0290985101056,3.14159184561,0.0,0.0,-5.02344832398e-11,0.00154547753875,2.1242563264e-11,0.0,0.0,-3.69775321474e-11,0.00145841589282,1.75530701085e-11,0.0,0.0,0.0042612270284,6.28318530716,0.0,0.0,-3.29443103889e-09,-3.51234278105e-12,-0.0516608367388,-3.52939875694e-11,1.61707794171e-07,-3.4484986213e-09,0.0,0.0,8.50998500353e-14,0.188596303848,9.59989884808e-09,0.0,0.0,8.31845318343e-14,0.164322668662,6.48041709184e-09,0.0,0.0,0.418914185438,7.68101804383e-09,0.0,0.0,-0.00100356618338,0.0684997176776,0.0320907389146,-0.036232773225,0.00782713525253,-0.000619567324504,-0.00127105051755,0.000266998837411,8.1726592335e-07,0.000855726608713,0.00366483756105,-0.00704936070122,-0.114087762141,0.0266299440612,-4.65299587456e-06,0.014545917511,0.01,reflex_col
0.03,0.00671123082876,-0.136678523319,0.137529066654,0.021972628812,-0.145868635736,0.198581507833,3.14159184562,0.0290985143194,3.14159184553,0.0,0.0,-8.61648530304e-11,0.0141027683162,1.77061032502e-10,0.0,0.0,6.14024386891e-11,0.013556733999,1.2006129424e-10,0.0,0.0,0.0276746450042,3.69135833012e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88722554388e-06,1.09397141157e-10,11.3778160321,1.66409373645e-09,-5.09693818937e-06,1.05606472951e-07,2.34860089953e-10,0.404986158419,-3.54122065005e-10,0.407716330005,-2.4012258848e-10,0.674253549958,-7.38271666023e-11,0.0219726289561,-0.145868635736,0.199070950698,3.14159184562,0.0290985120271,3.14159184558,0.0,0.0,-7.69979635606e-11,0.00644454934017,8.21200885071e-11,0.0,0.0,5.51905188217e-11,0.00615551745397,5.86197757002e-11,0.0,0.0,0.0138858083823,6.28318530717,0.0,0.0,5.91002735609e-10,-1.65351598369e-12,-0.0558591997217,-1.25560495824e-11,2.29420804932e-07,-5.37818486549e-09,0.0,0.0,1.4541472913e-13,0.496381553955,1.52601070114e-08,0.0,0.0,1.27371667581e-13,0.460739840746,9.88311255057e-09,0.0,0.0,0.894726552533,1.2170454422e-08,0.0,0.0,-0.000993047066519,0.0685447403477,0.0320035770675,-0.0362329650322,0.00782631543089,-0.000609985733205,-0.00267465585746,0.000594827555098,7.81849765708e-07,0.0012145929572,0.00518540325779,-0.0100848182204,-0.161850580188,0.0378980915005,-6.45062506609e-06,0.0294201374054,0.01,reflex_col
0.04,0.00671482705051,-0.13667852323,0.137099930604,0.0219726286834,-0.145868635736,0.198215551158,3.14159184562,0.0290985166741,3.14159184548,0.0,0.0,-8.82272033209e-11,0.024102822939,2.82792456119e-10,0.0,0.0,6.27986551649e-11,0.0233029298553,1.87855953016e-10,0.0,0.0,0.0447677295995,9.37117050626e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56602229261e-06,9.8008215069e-11,11.9333890563,2.34644521736e-09,-6.26612180152e-06,1.30803063756e-07,2.4036455705e-10,0.513485885305,-5.65584912238e-10,0.517485350723,-3.75711906031e-10,0.820322704005,-1.87423410125e-10,0.021972628812,-0.145868635736,0.198581507833,3.14159184562,0.0290985143194,3.14159184553,0.0,0.0,-8.61648530304e-11,0.0141027683162,1.77061032502e-10,0.0,0.0,6.14024386891e-11,0.013556733999,1.2006129424e-10,0.0,0.0,0.0276746450042,3.69135833012e-11,0.0,0.0,1.99180756467e-09,-7.38754852621e-13,-0.0453191579263,-7.60059447337e-12,2.47719958584e-07,-6.02292342818e-09,0.0,0.0,1.68623595199e-13,0.750338106314,1.72798504394e-08,0.0,0.0,1.42506383786e-13,0.712744271493,1.10837838907e-08,0.0,0.0,1.26790088648,1.4151187111e-08,0.0,0.0,-0.000975661778961,0.0685997393109,0.0319648536381,-0.036234231222,0.00782508527223,-0.000523577048408,-0.0044080221162,0.00115757003469,-4.47778767774e-06,0.00281244625207,0.00463103529297,0.0095895297332,-0.150153651149,0.095220963054,-0.0020974085514,0.0172362327576,0.01,reflex_col
0.05,0.00671921398244,-0.136678523127,0.136752176164,0.0219726285555,-0.145868635736,0.197966934434,3.14159184562,0.0290985189841,3.14159184544,0.0,0.0,8.79518680108e-11,0.0361658518593,3.90464549582e-10,0.0,0.0,6.26299012652e-11,0.0351345720456,2.56728860393e-10,0.0,0.0,0.0645251346381,1.56422430564e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3700110391e-06,9.63848684586e-11,12.1158520389,3.15782839857e-09,-7.35756043396e-06,1.54382502884e-07,-4.03010675224e-11,0.611670740703,-7.80929099164e-10,0.616827139772,-5.13457720785e-10,0.939748653619,-3.12844861128e-10,0.0219726286834,-0.145868635736,0.198215551158,3.14159184562,0.0290985166741,3.14159184548,0.0,0.0,-8.82272033209e-11,0.024102822939,2.82792456119e-10,0.0,0.0,6.27986551649e-11,0.0233029298553,1.87855953016e-10,0.0,0.0,0.0447677295995,9.37117050626e-11,0.0,0.0,1.63600546471e-09,-3.12600791617e-13,-0.0325755134757,-9.81981923636e-12,2.46900428962e-07,-6.14875431833e-09,0.0,0.0,1.77788089373e-13,0.970402476901,1.7808938324e-08,0.0,0.0,1.48021612374e-13,0.934401035949,1.13903557697e-08,0.0,0.0,1.56664370374,1.50296730617e-08,0.0,0.0,-0.000935262546622,0.0686336297137,0.032007725482,-0.0362380719237,0.00782370780395,-0.000366469003444,-0.00551604736499,0.00248627515116,-2.10993669039e-05,0.00485212511101,0.00245692985713,0.00454011686977,-0.0766243078171,0.151116744936,0.000114858589245,0.0165829658508,0.01,reflex_col
0.06,0.00672442804874,-0.136678523008,0.136464474277,0.0219726284172,-0.145868635736,0.197807879034,3.14159184561,0.0290985212281,3.14159184539,0.0,0.0,8.72848460176e-11,0.0500818137545,4.97513141795e-10,0.0,0.0,6.22133455863e-11,0.0488446913129,3.25189652983e-10,0.0,0.0,0.0864508017078,2.22282636742e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32037180393e-06,9.9542753336e-11,12.1499215327,4.0903839647e-09,-8.41478581999e-06,1.77385099686e-07,-3.99024389345e-11,0.700590931227,-9.9502628359e-10,0.706776543435,-6.50379305966e-10,1.03749198292,-4.44565273483e-10,0.0219726285555,-0.145868635736,0.197966934434,3.14159184562,0.0290985189841,3.14159184544,0.0,0.0,8.79518680108e-11,0.0361658518593,3.90464549582e-10,0.0,0.0,6.26299012652e-11,0.0351345720456,2.56728860393e-10,0.0,0.0,0.0645251346381,1.56422430564e-10,0.0,0.0,-9.96424319115e-12,-1.24263397182e-13,-0.0219674548801,-1.43499526062e-11,2.40541798282e-07,-6.10516325993e-09,0.0,0.0,1.79572772942e-13,1.16646476661,1.7828382548e-08,0.0,0.0,1.48588675222e-13,1.13300399307,1.13959091053e-08,0.0,0.0,1.80880179855,1.54578614353e-08,0.0,0.0,-0.000890793718107,0.0686562457027,0.0320496786224,-0.0362382828653,0.00782350598621,-0.000232765689391,-0.00622074072523,0.0038702840115,-1.71169964614e-05,0.00411440975719,0.0021023123118,0.00391794991595,-0.0654668851459,0.127984098114,9.48997117337e-05,0.0168671607971,0.01,reflex_col
0.07,0.00673057114056,-0.136678522878,0.136214613688,0.0219726282597,-0.145868635736,0.197710127374,3.14159184561,0.0290985234161,3.14159184534,0.0,0.0,8.68780603014e-11,0.0656762125757,6.03756156181e-10,0.0,0.0,6.19859719109e-11,0.0642561566194,3.93168164692e-10,0.0,0.0,0.11014924795,2.90253154844e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4306505875e-06,1.04661352841e-10,12.1367892005,5.13556524698e-09,-9.45972901667e-06,2.00325013467e-07,-3.96168964708e-11,0.781118937121,-1.20751231236e-09,0.788219216903,-7.86336329384e-10,1.1175075205,-5.80506309689e-10,0.0219726284172,-0.145868635736,0.197807879034,3.14159184561,0.0290985212281,3.14159184539,0.0,0.0,8.72848460176e-11,0.0500818137545,4.97513141795e-10,0.0,0.0,6.22133455863e-11,0.0488446913129,3.25189652983e-10,0.0,0.0,0.0864508017078,2.22282636742e-10,0.0,0.0,-2.59365544351e-09,-4.47977862169e-14,-0.0143533217562,-1.86507912496e-11,2.34058597915e-07,-6.0355942611e-09,0.0,0.0,1.82475382614e-13,1.34348844042,1.77412611269e-08,0.0,0.0,1.49894606846e-13,1.3125052983,1.13421454451e-08,0.0,0.0,2.00642264659,1.5714631818e-08,0.0,0.0,-0.000857010070458,0.0686758816044,0.0320920071446,-0.0362384504157,0.00782339922969,-0.000115949777458,-0.00683291922846,0.00492335229749,-1.49366856136e-05,0.00287649126541,0.00169948815563,0.00371505185602,-0.0529616956882,0.0896407449177,1.26083930937e-07,0.0180358886719,0.01,reflex_col
0.08,0.00673779387148,-0.136678522738,0.135985391883,0.0219726280769,-0.145868635736,0.197651541152,3.14159184561,0.0290985255653,3.1415918453,0.0,0.0,8.68407568078e-11,0.0827950681183,7.09683867228e-10,0.0,0.0,6.20152817987e-11,0.0812111490899,4.60980587036e-10,0.0,0.0,0.135299792093,3.59886342949e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70684256961e-06,1.10507330884e-10,12.117325575,6.2846635895e-09,-1.05027710208e-05,2.23435893433e-07,-3.95108782293e-11,0.854024659408,-1.41936773446e-09,0.861944254551,-9.21961174072e-10,1.18300207907,-7.19772685898e-10,0.0219726282597,-0.145868635736,0.197710127374,3.14159184561,0.0290985234161,3.14159184534,0.0,0.0,8.68780603014e-11,0.0656762125757,6.03756156181e-10,0.0,0.0,6.19859719109e-11,0.0642561566194,3.93168164692e-10,0.0,0.0,0.11014924795,2.90253154844e-10,0.0,0.0,-5.82168300447e-09,-1.13051643705e-14,-0.00933222799429,-2.12458123678e-11,2.29148361409e-07,-5.98846597162e-09,0.0,0.0,1.8572688346e-13,1.50414688638,1.76842291921e-08,0.0,0.0,1.51680203471e-13,1.4752780802,1.13095197651e-08,0.0,0.0,2.16819688976,1.59057056415e-08,0.0,0.0,-0.000834136733729,0.0686893885895,0.032121457685,-0.0362385047115,0.00782336698796,-3.5680926338e-05,-0.00725362466484,0.00563577502124,-1.3536750491e-05,0.00180494440219,0.00106511713946,0.00231564296837,-0.0331605232486,0.0561933444529,1.74035112043e-07,0.0200848579407,0.01,reflex_col
0.09,0.00674628093521,-0.13667852259,0.13576527243,0.0219726278646,-0.145868635736,0.197616765269,3.14159184561,0.0290985276913,3.14159184525,0.0,0.0,8.70965521926e-11,0.10129853738,8.15783884889e-10,0.0,0.0,6.2244431831e-11,0.0995664294329,5.28926236143e-10,0.0,0.0,0.161640082103,4.30882884928e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1484515593e-06,1.16281000793e-10,12.1048878352,7.52712170076e-09,-1.15483902848e-05,2.46809513244e-07,-3.95532855259e-11,0.920007313099,-1.63156776978e-09,0.928667852836,-1.05785247229e-09,1.23659917897,-8.61765769855e-10,0.0219726280769,-0.145868635736,0.197651541152,3.14159184561,0.0290985255653,3.1415918453,0.0,0.0,8.68407568078e-11,0.0827950681183,7.09683867228e-10,0.0,0.0,6.20152817987e-11,0.0812111490899,4.60980587036e-10,0.0,0.0,0.135299792093,3.59886342949e-10,0.0,0.0,-9.44268850644e-09,5.20079992006e-15,-0.00620601461835,-2.12418121714e-11,2.2598550355e-07,-5.97237756885e-09,0.0,0.0,1.89750365284e-13,1.65011143817,1.76825891707e-08,0.0,0.0,1.54181415508e-13,1.62297800979,1.13116245259e-08,0.0,0.0,2.30075291469,1.60631015156e-08,0.0,0.0,-0.000821604868237,0.068696851016,0.0321377627874,-0.0362384945295,0.00782336540158,8.55338160155e-06,-0.00748575146637,0.00602548346871,-1.26974118869e-05,0.000875562175937,0.00054665353914,0.00124178370316,-0.0169789401434,0.0271724432853,1.74824203864e-05,0.0362279415131,0.01,reflex_col
0.1,0.00675676817411,-0.136678522424,0.13554135641,0.0219731394737,-0.145868635736,0.197589181584,3.14159184561,0.0290985298967,3.14159184494,0.0,0.0,-8.80806538817e-11,0.121069463981,9.33987998053e-10,0.0,0.0,-6.29647445294e-11,0.11920641838,6.1162541698e-10,0.0,0.0,0.188953068022,5.02581087858e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00254931549917,-1.65495691113e-09,12.1646914706,7.29686554131e-09,-1.26595506526e-05,4.00597007076e-07,3.99731177621e-11,0.979652680094,-1.86797599611e-09,0.988967908099,-1.22325083396e-09,1.28046931978,-1.00516217572e-09,0.0219726278646,-0.145868635736,0.197616765269,3.14159184561,0.0290985276913,3.14159184525,0.0,0.0,8.70965521926e-11,0.10129853738,8.15783884889e-10,0.0,0.0,6.2244431831e-11,0.0995664294329,5.28926236143e-10,0.0,0.0,0.161640082103,4.30882884928e-10,0.0,0.0,-1.32433367111e-08,1.68801626245e-14,-0.00434053017918,-1.81158375795e-11,2.24234467541e-07,-5.98189595447e-09,0.0,0.0,1.94447573164e-13,1.78264150367,1.77226133768e-08,0.0,0.0,1.57340419242e-13,1.75693928636,1.13390108414e-08,0.0,0.0,2.40934799558,1.61915760799e-08,0.0,0.0,-0.000820843491732,0.0686984534131,0.0321444321705,-0.0362384182049,0.00782328013815,1.9175730328e-05,-0.00753764504244,0.00604790205138,-1.21904024155e-05,-0.000372939378925,-4.73823590727e-05,0.000240569100155,0.00147470965798,-0.0115732653707,-5.95322008209e-06,0.0130817890167,0.01,reflex_col
